Date,Soybean FOB Brazil $/mt,Soybean CFR China $/mt,Soybean FOB US Gulf $/mt,Soybean FOB US PNW $/mt,Soybean CIF US Gulf Barge $/mt,Soybeans @S@A,Nola Basis,Santos Basis,Close(DRYP-DVTDLC-GRA),Close(DRYP-PDXDLC-GRA),Close(DRYP-PNGDLC-GRA),Close(DRYP-PNGDLC2-GRA)
8/17/18,401,436,345.75,358.5,332.25,8.93,21,217,41.7,23.9,44.5,35.4
8/16/18,400.5,434.75,341.75,364.25,328.5,8.97,20,203,41.4,23.7,44.1,35.1
8/15/18,399.75,434.75,344.75,358,331,8.69,23,224,41.3,23.5,44.1,34.7
8/14/18,397.25,432.25,337,349,324,8.80,30,137,40.9,23.3,43.7,34.7
8/13/18,401.5,436.5,342.5,352.75,329.25,8.69,33,224,40.9,23.3,43.6,34.5
8/10/18,396,431,336.5,346.75,323.75,8.62,32,223,41.0,23.4,43.8,34.6
8/9/18,398.75,433.75,337.25,347.25,324.5,9.04,33,219,41.2,23.4,44.0,34.8
8/8/18,403.75,438.75,352.25,362,339.5,9.11,32,213,41.5,23.5,44.3,35.1
8/7/18,405.5,442.75,354.25,360,341.25,9.06,32,223,41.5,23.7,44.3,35.4
8/6/18,404.75,442,351.75,360.5,338.5,8.94,31,224,41.8,23.8,44.6,35.6
8/3/18,402.75,440,351.25,361.5,334.75,9.02,27,225,42.0,24.0,44.9,35.7
8/2/18,406.75,442.5,351.75,362.75,337.25,8.98,28,244,42.7,24.2,45.7,36.1
8/1/18,409.25,446.5,350.5,359.75,336.5,9.02,32,234,43.5,24.6,46.6,36.9
7/31/18,411.75,449,354.5,362,341,9.19,33,227,44.0,24.8,47.2,37.5
7/30/18,410,439.5,350,364.5,346.5,8.91,48,218,44.0,24.8,47.2,37.8
7/27/18,407.25,437.75,344.25,355.25,339.25,8.85,43,218,43.6,24.8,46.8,37.7
7/26/18,405.25,435.75,340.5,351.75,335.75,8.76,51,213,43.5,24.7,46.7,37.2
7/25/18,402.75,433.25,341.5,350.5,336.25,8.76,51,219,43.5,24.7,46.6,37.3
7/24/18,401.75,432.5,340.25,348.25,334.5,8.73,50,228,43.3,24.7,46.4,37.2
7/23/18,401.25,432.5,338.75,348.25,334,8.63,50,238,43.1,24.6,46.1,36.8
7/20/18,397,428.5,335.5,345,330.75,8.65,46,249,42.9,24.5,45.9,36.7
7/19/18,394.25,426.75,333.5,343.5,329.5,8.62,44,218,42.6,24.4,45.5,36.4
7/18/18,394.25,427.75,330.75,344,327.5,8.58,44,220,42.6,24.5,45.5,36.3
7/17/18,392.75,426.25,330,345.75,327.5,8.55,44,230,43.2,24.5,46.2,36.3
7/16/18,396,429.5,328.75,344.75,326.25,8.46,46,230,43.1,24.5,46.2,36.8
7/13/18,397.5,431,326.75,342.5,324,8.34,47,230,43.1,24.5,46.1,36.8
7/12/18,394.25,427.75,322.5,337.25,320,8.49,49,238,43.3,24.5,46.4,36.7
7/11/18,394.75,428.25,326.75,341.25,324,8.48,52,220,43.1,24.3,46.2,36.7
7/10/18,397.5,428.25,332.5,347.25,329.5,8.72,55,210,41.9,23.7,44.8,35.8
7/9/18,401,434.5,338.75,349.5,335.5,8.72,54,217,41.3,23.3,44.1,35.1
7/6/18,399.75,433.25,335.5,344.75,334.25,8.95,54,205,40.9,23.1,43.7,34.7
7/5/18,403,436.5,339,349.5,339.25,8.56,54,219,40.8,23.0,43.6,34.5
7/3/18,393,426.5,332.5,343.5,331.75,8.64,54,209,40.5,22.9,43.2,34.4
7/2/18,386,419.5,333,346.25,331.5,8.70,53,207,40.8,22.9,43.6,34.3
6/29/18,391,424.5,339.5,355.75,337.5,8.80,56,156,40.6,22.9,43.4,34.6
6/28/18,391.5,425,342.5,356.75,340.25,8.84,54,162,40.3,22.8,43.0,34.3
6/27/18,389.25,422.75,342.25,356.75,340.25,8.89,56,168,39.9,22.6,42.5,34.0
6/26/18,387.5,421,343,357.5,340.25,8.88,56,112,39.7,22.6,42.2,33.5
6/25/18,382.75,416.25,342.75,356.75,340.25,8.75,55,163,39.7,22.6,42.3,33.6
6/22/18,382.5,416,346.75,360.5,343.5,8.95,57,185,39.9,22.8,42.5,33.6
6/21/18,389.5,423,353.25,366,349,8.81,57,186,40.4,22.9,43.0,33.9
6/20/18,387,422,348.75,362.75,345.25,8.90,52,193,40.6,23.0,43.2,34.4
6/19/18,389,424,351,368.5,346.75,8.89,53,203,41.1,23.3,43.8,34.7
6/18/18,390.5,425.5,348.75,368.25,345,9.09,48,139,41.5,23.6,44.3,35.1
6/15/18,383.25,418.25,355,375.25,351.75,9.06,50,116,41.5,23.6,44.3,35.2
6/14/18,386.25,421.25,358.5,378.75,355.25,9.27,51,116,41.5,23.4,44.3,35.1
6/13/18,387.75,420.75,365.5,385,362,9.36,52,117,41.2,23.4,44.0,34.9
6/12/18,388,421,367.75,387.25,364.25,9.54,50,98,41.2,23.3,44.0,34.8
6/11/18,389,422,376,395,372.25,9.54,55,92,40.8,23.2,43.6,34.8
6/8/18,387,420,377,396.75,372.25,9.69,52,91,40.6,23.0,43.3,34.1
6/7/18,391,424,380.75,400.5,376,9.74,51,93,39.9,22.5,42.6,33.7
6/6/18,394.25,427.25,384,402,379.25,9.94,51,102,39.2,22.3,41.7,33.2
6/5/18,401.5,434.5,391.25,408.25,385.5,10.01,57,109,39.0,22.0,41.5,32.5
6/4/18,403.75,436.75,394,410.5,387.75,10.02,60,124,38.5,21.7,40.9,32.3
6/1/18,414,442.75,394.75,407.75,389,10.21,59,98,37.8,21.4,40.1,31.9
5/31/18,403.5,441.75,398,411.5,392.5,10.19,60,#N/A,37.4,21.1,39.6,31.1
5/30/18,,440.75,398.25,410.75,393.5,10.23,60,86,37.1,21.0,39.3,30.9
5/29/18,406.75,440.75,401,413,396,10.31,58,101,37.7,21.1,40.0,30.9
5/25/18,407.25,441.25,405.75,417,400.75,10.42,56,70,37.9,21.2,40.2,31.7
5/24/18,405,439,408.5,420.25,404.5,10.36,55,74,38.0,21.3,40.4,31.8
5/23/18,406.75,440.75,407.75,419,402.25,10.39,56,78,38.2,21.3,40.7,32.0
5/22/18,408.25,442.25,405.25,415.5,399,10.31,55,86,38.3,21.4,40.8,32.2
5/21/18,408.75,442.75,403,413.25,396.25,10.25,50,81,38.3,21.5,40.7,32.2
5/18/18,406.25,440.25,401.25,411.25,394.25,9.99,52,76,38.3,21.5,40.7,32.1
5/17/18,396,430,392,400.5,384.25,9.95,52,79,37.9,21.3,40.2,32.1
5/16/18,398,432,393.25,399.5,385.25,10.00,55,77,37.9,21.4,40.2,31.6
5/15/18,393.5,427.5,393.5,399,387,10.19,55,80,37.6,21.5,39.8,31.7
5/14/18,397.25,431.25,393.5,401,388.5,10.18,53,121,37.8,21.5,40.0,31.5
5/11/18,407,441,399.75,407.5,394,10.03,50,115,37.7,21.6,39.9,31.6
5/10/18,407.75,440,395,403,388.75,10.21,49,106,37.7,21.4,39.9,31.4
5/9/18,412,446,402,409,393.25,10.16,52,#N/A,37.6,21.2,39.8,31.6
5/8/18,409,443,400.5,406.75,391.75,10.20,52,107,37.8,21.3,40.0,31.5
5/4/18,409.75,443.75,405.75,409.75,394.75,10.37,46,104,37.8,21.3,40.0,31.3
5/3/18,421,454,413,416,400.5,10.53,45,97,37.7,21.5,39.8,31.6
5/2/18,418.5,452,410.5,412.25,398.75,10.43,45,105,37.7,21.4,39.9,31.4
5/1/18,424.75,458.75,414,416,402.25,10.53,42,#N/A,37.8,21.4,40.0,31.4
4/30/18,,464,415,417,402.5,10.49,56,132,37.9,21.4,40.1,31.6
4/27/18,429.5,464,417,415.5,403.75,10.56,57,122,37.9,21.5,40.1,31.6
4/26/18,432,466,419,413.75,404.25,10.40,56,117,37.7,21.5,39.9,31.7
4/25/18,430,464,413.75,411.5,399.75,10.39,54,131,38.1,21.6,40.3,31.5
4/24/18,431.75,464.75,413.25,412.75,399.75,10.34,60,140,38.2,21.7,40.4,31.9
4/23/18,429.5,463.5,410,409.25,396.5,10.32,52,135,38.6,21.8,40.8,32.1
4/20/18,429.25,463.25,409.75,412.5,396.25,10.40,52,148,38.6,21.9,40.9,32.3
4/19/18,430.25,464.25,412.25,415.5,399.5,10.49,50,120,38.5,21.9,40.8,32.5
4/18/18,430.25,465.25,414.75,417.75,402,10.53,56,122,38.7,21.8,41.0,32.3
4/17/18,434,469,416,420.75,406.5,10.46,66,135,39.0,22.3,41.3,32.5
4/16/18,433.5,468.5,417.75,420,408.5,10.42,69,158,39.0,22.3,41.3,32.6
4/13/18,433.25,471,419.5,420.25,410,10.54,70,135,38.9,21.9,41.2,32.5
4/12/18,437,474.75,423.25,423.25,413.75,10.61,71,157,38.3,21.5,40.5,32.3
4/11/18,439,474,425.5,425.5,415.25,10.48,68,141,38.2,21.5,40.4,31.8
4/10/18,437.5,472.5,421.75,425.5,412.75,10.50,70,157,37.9,21.6,40.0,31.7
4/9/18,438,473,422.5,428,413.25,10.47,72,158,37.9,21.5,40.0,31.4
4/6/18,442.75,477.75,419,424.5,409.75,10.34,65,175,37.9,21.4,40.0,31.5
4/5/18,440.5,475.5,413.75,419.25,404.5,10.31,65,155,37.9,21.4,40.0,31.7
4/4/18,436.5,471.5,410,419.25,406.5,10.15,51,183,38.4,22.0,40.6,32.0
4/3/18,438.25,473.5,396.75,404.5,387.25,10.38,45,129,39.1,22.3,41.4,32.5
3/29/18,430.25,464,410,421.75,402.75,10.45,35,117,39.4,22.1,41.7,33.0
3/28/18,424.75,459.5,409,420,398.5,10.18,30,117,39.6,22.4,42.0,33.2
3/27/18,417,451.25,401.25,412.25,391,10.20,30,108,40.0,22.5,42.5,33.5
3/26/18,415,450,402,413,391.5,10.26,29,108,40.1,22.6,42.5,33.8
3/23/18,415.25,449.5,403.5,414.5,393.5,10.28,26,97,40.0,22.6,42.3,33.8
3/22/18,413,447,401.25,412.25,390,10.30,29,96,40.0,22.6,42.4,33.5
3/21/18,409,443,402,413.75,390,10.30,28,93,40.0,22.7,42.4,33.6
3/20/18,409.25,442.75,402,413.75,393.25,10.28,27,93,40.1,22.7,42.5,33.6
3/19/18,410.75,444.25,402.75,414.5,391,10.23,27,93,40.0,22.8,42.4,33.7
3/16/18,408.25,441.25,401.25,413,389.75,10.50,31,76,40.0,22.7,42.4,33.5
3/15/18,416.75,450,410.5,421.5,398.25,10.41,29,102,40.0,22.6,42.4,33.6
3/14/18,414.5,448.5,406,419.25,396,10.32,33,94,40.0,22.8,42.3,33.6
3/13/18,414.5,447.5,404.25,416.75,394.25,10.49,36,94,39.8,22.7,42.1,33.5
3/12/18,418.5,448.5,407,420.75,399,10.41,38,99,39.7,22.7,42.0,33.3
3/9/18,416.75,445,402,416.25,398.25,10.39,40,95,39.7,22.6,42.0,33.1
3/8/18,418,445.25,402.5,416.25,399,10.64,40,100,39.5,22.4,41.8,32.9
3/7/18,426.25,451.5,409.5,420.25,406.25,10.65,41,90,39.2,22.5,41.5,32.9
3/6/18,426.25,453.5,411.5,422.25,408,10.75,41,90,39.0,22.4,41.2,32.7
3/5/18,427.5,456.5,414.25,424.5,411,10.78,38,40,38.6,22.2,40.7,32.4
3/2/18,427.75,457.5,414.25,425,410.75,10.71,40,81,38.8,22.3,40.9,32.2
3/1/18,421.25,453.5,411.25,421,407.75,10.68,40,77,39.4,22.6,41.7,32.4
2/28/18,418.25,450,410,416,406.5,10.56,50,79,39.4,22.7,41.7,33.1
2/27/18,415,444,406.25,416,402.75,10.50,52,65,39.4,22.6,41.7,33.0
2/26/18,412.5,442,402.25,415,399.25,10.46,41,64,39.3,22.5,41.5,32.9
2/23/18,408.25,439.5,399.75,412.25,396.25,10.48,40,63,39.0,22.6,41.2,32.6
2/22/18,405.25,438.5,399,412,395.5,10.43,36,53,38.6,21.9,40.7,32.1
2/21/18,404,437,397.25,410.5,394.5,10.34,35,67,38.3,22.1,40.5,31.7
2/20/18,404.5,437,396.25,,,10.27,32.5,69,37.8,21.4,39.9,31.5
2/16/18,402.75,435.5,395,,,10.22,33,68,36.8,21.1,38.7,30.9
2/15/18,401.5,433.25,393.25,,,10.24,#N/A,#N/A,36.7,21.0,38.6,30.3
