Date,Soybean FOB Brazil $/mt,Soybean CFR China $/mt,Soybean FOB US Gulf $/mt,Soybean FOB US PNW $/mt,Soybean CIF US Gulf Barge $/mt,Soybeans @S@A,Nola Basis,Santos Basis,Close(DRYP-DVTDLC-GRA),Close(DRYP-PDXDLC-GRA),Close(DRYP-PNGDLC-GRA),Close(DRYP-PNGDLC2-GRA)
9/3/19,369.75,410.75,329.5,340.25,327,8.69,22,142,48.5,28.9,51.8,39.3
8/30/19,,408.5,,,,8.69,34,78,48.9,29.0,52.3,39.8
8/29/19,368.5,410.5,332,341,331.75,8.69,35,126,48.8,28.9,52.2,39.7
8/28/19,368.5,411.5,330.75,339.5,331,8.66,34,148,48.6,28.6,51.9,39.4
8/27/19,371,407.75,329.25,340,327.5,8.59,35,82,48.6,28.4,52.0,39.5
8/26/19,368.25,411.5,327,340.5,322.25,8.67,40,154,47.7,28.1,50.9,38.6
8/23/19,374.5,410.5,327.5,339.25,323.75,8.57,45,144,47.9,28.0,51.1,38.8
8/22/19,376,411.25,335.5,345.75,331,8.69,46,144,47.6,27.9,50.7,38.5
8/21/19,375.25,405.25,334.25,347.5,333,8.73,45,140,47.3,28.1,50.4,38.2
8/20/19,369.75,404.5,333,346.5,331,8.68,45,141,47.2,28.0,50.3,38.2
8/19/19,369.75,408.5,331.75,345.5,329.5,8.67,40,132,47.2,28.1,50.3,38.2
8/16/19,374,404.25,335.75,349.75,334,8.80,40,122,46.9,28.0,49.9,37.8
8/15/19,366.75,402.75,334.25,341,328.75,8.71,40,121,47.3,27.9,50.4,38.2
8/14/19,367,405.75,337.25,344,331.75,8.78,38,116,46.5,28.0,49.5,37.5
8/13/19,370.5,402,340.5,348,336.5,8.89,35,120,46.3,27.6,49.4,37.3
8/12/19,367.75,407,337,344.25,333,8.79,35,125,45.7,27.3,48.7,36.8
8/9/19,372.5,402.75,340.25,347.5,335,8.92,35,119,45.2,27.1,48.1,36.3
8/8/19,369.25,395,338,345.5,333.25,8.83,36,118,44.4,26.7,47.2,35.6
8/7/19,362,397.5,331.75,339.25,327.75,8.67,36,116,44.6,26.5,47.5,35.8
8/6/19,362.25,398.25,331.75,339.25,328,8.66,36,126,44.9,26.5,47.9,35.4
8/5/19,364.25,388.75,333.25,341,328.75,8.69,49,124,44.8,26.6,47.7,35.9
8/2/19,356.75,385,335,349,330.25,8.69,49,110,45.7,26.8,49.0,36.1
8/1/19,355,389.5,334.25,348.25,329.25,8.65,50,94,46.4,26.9,49.7,37.1
7/31/19,356.75,392.75,341.25,352.75,338.5,8.82,52,72,46.7,27.3,50.1,38.2
7/30/19,358,395,346.25,359,342,8.97,52,65,47.4,27.8,50.8,38.6
7/29/19,360.75,395.75,351,363.5,346.5,9.04,54,63,48.5,28.3,52.0,39.1
7/26/19,359.75,394,350.5,362.75,346.75,9.01,57,66,48.9,28.6,52.6,39.8
7/25/19,359,397.25,348.75,360.75,345.5,9.00,68,68,49.5,29.0,53.2,40.4
7/24/19,360.75,396,351.75,363.75,348.25,9.08,65,70,49.8,29.3,53.6,40.4
7/23/19,359.75,398.25,350.25,363,346.5,9.04,66,70,50.5,29.5,54.4,40.7
7/22/19,361.5,402,350.5,363.5,347.5,9.06,56,70,50.2,29.3,54.0,41.1
7/19/19,369.25,396,354.5,369,352.25,9.19,58,75,49.8,28.9,53.5,40.6
7/18/19,363.5,395.75,346.25,360.5,344.25,8.99,58,79,49.4,28.6,53.2,40.1
7/17/19,361.25,396.5,349.75,358,346.5,9.01,58,68,48.9,28.4,52.6,39.5
